"","Loan.ID","DPD","DPAmount","Mth","number"
"1","LAI-00000029",0,0,2017-02-01,1
"2","LAI-00000030",0,0,2017-02-01,1
"3","LAI-00000030",0,0,2017-03-01,2
"4","LAI-00000030",0,0,2017-04-01,3
"5","LAI-00000030",0,0,2017-05-01,4
"6","LAI-00000030",0,0,2017-06-01,5
"7","LAI-00000030",0,0,2017-07-01,6
"8","LAI-00000030",0,0,2017-08-01,7
"9","LAI-00000030",NA,NA,2017-09-01,8
"10","LAI-00000030",0,0,2017-10-01,9
"11","LAI-00000030",0,0,2017-11-01,10
"12","LAI-00000030",0,0,2017-12-01,11
"13","LAI-00000030",0,0,2018-01-01,12
"14","LAI-00000030",0,0,2018-02-01,13
"15","LAI-00000030",0,0,2018-03-01,14
"16","LAI-00000030",0,0,2018-04-01,15
"17","LAI-00000030",0,0,2018-05-01,16
"18","LAI-00000030",0,0,2018-06-01,17
"19","LAI-00000033",0,0,2017-02-01,1
"20","LAI-00000033",0,0,2017-03-01,2
"21","LAI-00000033",0,0,2017-04-01,3
"22","LAI-00000033",0,0,2017-05-01,4
"23","LAI-00000033",0,0,2017-06-01,5
"24","LAI-00000033",0,0,2017-07-01,6
"25","LAI-00000033",0,0,2017-08-01,7
"26","LAI-00000033",21,5192,2017-09-01,8
"27","LAI-00000033",31,5191,2017-10-01,9
"28","LAI-00000033",30,5191,2017-11-01,10
"29","LAI-00000033",31,10381,2017-12-01,11
"30","LAI-00000033",62,10382,2018-01-01,12
"31","LAI-00000033",90,10573,2018-02-01,13
"32","LAI-00000033",121,20956,2018-03-01,14
"33","LAI-00000033",150,20956,2018-04-01,15
"34","LAI-00000033",151,20956,2018-05-01,16
"35","LAI-00000033",181,26148,2018-06-01,17
"36","LAI-00000034",0,0,2017-02-01,1
"37","LAI-00000034",0,0,2017-03-01,2
"38","LAI-00000034",0,0,2017-04-01,3
"39","LAI-00000034",0,0,2017-05-01,4
"40","LAI-00000034",0,0,2017-06-01,5
"41","LAI-00000034",0,0,2017-07-01,6
"42","LAI-00000034",0,0,2017-08-01,7
"43","LAI-00000034",NA,NA,2017-09-01,8
"44","LAI-00000034",0,0,2017-10-01,9
"45","LAI-00000034",0,0,2017-11-01,10
"46","LAI-00000034",0,0,2017-12-01,11
"47","LAI-00000034",0,0,2018-01-01,12
"48","LAI-00000034",0,0,2018-02-01,13
"49","LAI-00000034",0,0,2018-03-01,14
"50","LAI-00000034",0,0,2018-04-01,15
"51","LAI-00000034",0,0,2018-05-01,16
"52","LAI-00000034",0,0,2018-06-01,17
"53","LAI-00000036",0,0,2017-02-01,1
"54","LAI-00000036",0,0,2017-03-01,2
"55","LAI-00000036",0,0,2017-04-01,3
"56","LAI-00000036",0,0,2017-05-01,4
"57","LAI-00000036",0,0,2017-06-01,5
"58","LAI-00000036",NA,0,2017-07-01,6
"59","LAI-00000037",0,0,2017-02-01,1
"60","LAI-00000037",0,0,2017-03-01,2
"61","LAI-00000037",0,0,2017-04-01,3
"62","LAI-00000037",0,0,2017-05-01,4
"63","LAI-00000037",0,0,2017-06-01,5
"64","LAI-00000037",0,0,2017-07-01,6
"65","LAI-00000037",0,0,2017-08-01,7
"66","LAI-00000037",NA,NA,2017-09-01,8
"67","LAI-00000037",0,0,2017-10-01,9
"68","LAI-00000037",22,9331,2017-11-01,10
"69","LAI-00000037",0,0,2017-12-01,11
"70","LAI-00000037",0,0,2018-01-01,12
"71","LAI-00000037",0,0,2018-02-01,13
"72","LAI-00000037",0,0,2018-03-01,14
"73","LAI-00000037",0,0,2018-04-01,15
"74","LAI-00000037",0,0,2018-05-01,16
"75","LAI-00000037",0,0,2018-06-01,17
"76","LAI-00000038",0,0,2017-02-01,1
"77","LAI-00000038",0,0,2017-03-01,2
"78","LAI-00000038",0,0,2017-04-01,3
"79","LAI-00000038",0,0,2017-05-01,4
"80","LAI-00000038",0,0,2017-06-01,5
"81","LAI-00000038",0,0,2017-07-01,6
"82","LAI-00000038",0,0,2017-08-01,7
"83","LAI-00000038",NA,NA,2017-09-01,8
"84","LAI-00000038",NA,0,2017-10-01,9
"85","LAI-00000040",0,0,2017-02-01,1
"86","LAI-00000041",0,0,2017-02-01,1
"87","LAI-00000041",0,0,2017-03-01,2
"88","LAI-00000041",0,0,2017-04-01,3
"89","LAI-00000041",0,0,2017-05-01,4
"90","LAI-00000041",0,0,2017-06-01,5
"91","LAI-00000041",0,0,2017-07-01,6
"92","LAI-00000041",0,0,2017-08-01,7
"93","LAI-00000041",NA,NA,2017-09-01,8
